price,bedroom,bathroom,sq_ft,aircorn,pcode,tsp_en,tsp_mm,floor,overhead_tank,parquet,tiles,price_sqft
200,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,5,,,,32000
200,0,1,960,0,MMR013040,Hlaing,လှိုင်,5,False,False,True,20833.3333333333
200,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,6,,,,32000
200,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,6,False,False,True,32000
200,1,1,660,1,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,4,False,False,False,30303.0303030303
200,1,1,900,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,6,False,False,False,22222.2222222222
205,0,1,750,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,6,,,,27333.3333333333
205,0,1,750,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,6,,,,27333.3333333333
210,0,1,600,0,MMR013014,Dawbon,ဒေါပုံ,5,False,False,True,35000
210,0,1,625,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,1,False,False,True,33600
215,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,5,True,False,False,34400
215,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,5,True,False,False,34400
220,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,5,False,False,False,35200
220,0,1,564,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,3,False,False,True,39007.0921985816
220,0,1,990,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,6,False,False,False,22222.2222222222
220,0,0,625,0,MMR013014,Dawbon,ဒေါပုံ,2,,,,35200
225,0,1,600,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,6,True,False,True,37500
230,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,6,False,False,True,36800
230,1,1,720,0,MMR013038,Kyeemyindaing,ကြည့်မြင်တိုင်,6,False,False,False,31944.4444444444
230,0,1,517,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,5,,,,44487.4274661509
230,0,0,700,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,3,False,False,False,32857.1428571429
230,0,1,650,1,MMR013014,Dawbon,ဒေါပုံ,3,False,True,True,35384.6153846154
230,0,1,650,1,MMR013014,Dawbon,ဒေါပုံ,3,False,True,True,35384.6153846154
230,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,1,False,True,False,36800
235,0,0,575,0,MMR013037,Ahlone,အလုံ,5,False,False,False,40869.5652173913
235,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,4,True,False,False,37600
235,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,4,True,False,False,37600
239,2,1,687,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,4,False,True,False,34788.9374090247
240,0,1,625,0,MMR013013,Thaketa,သာကေတ,4,False,False,False,38400
240,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,5,,,,38400
240,0,1,600,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,,False,False,True,40000
240,0,0,625,0,MMR013040,Hlaing,လှိုင်,,False,False,False,38400
245,0,1,560,0,MMR013042,Mayangone,မရမ်းကုန်း,0,False,False,False,43750
245,0,1,675,0,MMR013012,North Okkalapa,မြောက်ဥက္ကလာပ,6,False,False,False,36296.2962962963
250,0,1,688,1,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,4,True,False,False,36337.2093023256
250,0,1,688,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,3,False,False,False,36337.2093023256
250,0,1,605,0,MMR013040,Hlaing,လှိုင်,2,,,,41322.3140495868
250,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,5,False,False,False,40000
250,0,1,715,4,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,1,False,False,False,34965.034965035
250,0,0,575,0,MMR013037,Ahlone,အလုံ,4,False,False,False,43478.2608695652
250,0,1,918,0,MMR013018,Dagon Myothit (South),ဒဂုံမြို့သစ်တောင်ပိုင်း,5,True,False,True,27233.1154684096
250,0,1,972,0,MMR013013,Thaketa,သာကေတ,5,True,False,False,25720.1646090535
250,0,1,688,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,3,False,False,False,36337.2093023256
250,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,6,,,,40000
250,0,1,600,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,,,,,41666.6666666667
250,1,1,687,0,MMR013016,Pazundaung,ပုဇွန်တောင်,8,False,False,False,36390.1018922853
250,0,1,625,0,MMR013042,Mayangone,မရမ်းကုန်း,,False,False,True,40000
250,0,0,625,0,MMR013014,Dawbon,ဒေါပုံ,1,,,,40000
250,0,0,600,0,MMR013014,Dawbon,ဒေါပုံ,0,,,,41666.6666666667
250,0,1,688,0,MMR013040,Hlaing,လှိုင်,3,False,True,True,36337.2093023256
255,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,3,True,False,False,40800
255,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,3,True,False,False,40800
255,0,1,756,0,MMR013019,Dagon Myothit (North),ဒဂုံမြို့သစ်မြောက်ပိုင်း,5,False,False,False,33730.1587301587
255,0,1,625,0,MMR013022,Mingalartaungnyunt,မင်္ဂလာတောင်ညွန့်,6,False,False,False,40800
260,0,1,810,0,MMR013013,Thaketa,သာကေတ,6,False,False,False,32098.7654320988
260,0,1,810,0,MMR013013,Thaketa,သာကေတ,6,False,False,False,32098.7654320988
260,0,1,625,0,MMR013018,Dagon Myothit (South),ဒဂုံမြို့သစ်တောင်ပိုင်း,5,False,False,True,41600
260,0,1,625,0,MMR013040,Hlaing,လှိုင်,6,False,False,False,41600
260,0,1,660,0,MMR013022,Mingalartaungnyunt,မင်္ဂလာတောင်ညွန့်,5,True,True,True,39393.9393939394
260,0,1,625,0,MMR013015,Tamwe,တာမွေ,7,False,False,False,41600
260,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,1,True,False,False,41600
260,0,1,625,1,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,1,True,True,True,41600
260,1,1,600,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,,False,True,True,43333.3333333333
260,1,1,625,1,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,6,False,True,False,41600
260,1,1,900,0,MMR013015,Tamwe,တာမွေ,7,False,True,True,28888.8888888889
260,1,1,625,1,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,6,False,True,True,41600
260,3,1,900,0,MMR013015,Tamwe,တာမွေ,,False,False,False,28888.8888888889
260,0,1,900,0,MMR013042,Mayangone,မရမ်းကုန်း,3,False,False,False,28888.8888888889
260,1,1,900,0,MMR013040,Hlaing,လှိုင်,4,False,False,False,28888.8888888889
260,0,1,688,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,3,False,False,False,37790.6976744186
265,0,1,770,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,5,False,False,True,34415.5844155844
265,0,0,625,0,MMR013037,Ahlone,အလုံ,3,False,False,False,42400
270,0,1,552,0,MMR013040,Hlaing,လှိုင်,1,False,True,False,48913.0434782609
270,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,2,,,,43200
270,1,1,625,0,MMR013040,Hlaing,လှိုင်,5,False,False,False,43200
270,1,1,550,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,,False,False,False,49090.9090909091
270,1,1,600,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,,False,True,True,45000
270,0,1,517,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,,False,False,True,52224.3713733075
270,0,1,688,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,2,,,,39244.1860465116
270,0,1,625,0,MMR013042,Mayangone,မရမ်းကုန်း,4,,,,43200
270,0,0,625,0,MMR013042,Mayangone,မရမ်းကုန်း,4,,,,43200
270,1,1,810,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,5,False,False,False,33333.3333333333
275,0,1,625,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,3,False,True,False,44000
275,0,1,935,0,MMR013013,Thaketa,သာကေတ,6,False,False,False,29411.7647058824
275,2,1,720,1,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,5,False,False,True,38194.4444444444
275,0,0,625,0,MMR013012,North Okkalapa,မြောက်ဥက္ကလာပ,4,False,False,False,44000
275,0,1,600,0,MMR013039,Sanchaung,စမ်းချောင်း,6,,,,45833.3333333333
275,0,0,625,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,2,,,,44000
275,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,1,False,False,False,44000
280,1,1,720,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,0,True,False,False,38888.8888888889
280,2,2,600,1,MMR013042,Mayangone,မရမ်းကုန်း,5,True,False,False,46666.6666666667
280,1,1,1044,1,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,4,False,True,False,26819.9233716475
280,0,1,564,0,MMR013012,North Okkalapa,မြောက်ဥက္ကလာပ,2,False,False,False,49645.390070922
280,0,1,540,0,MMR013014,Dawbon,ဒေါပုံ,2,False,False,False,51851.8518518519
280,0,1,625,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,1,False,False,False,44800
280,3,2,780,0,MMR013018,Dagon Myothit (South),ဒဂုံမြို့သစ်တောင်ပိုင်း,0,False,True,False,35897.4358974359
280,0,1,972,0,MMR013018,Dagon Myothit (South),ဒဂုံမြို့သစ်တောင်ပိုင်း,6,False,False,True,28806.5843621399
280,1,1,670,1,MMR013040,Hlaing,လှိုင်,5,False,False,True,41791.0447761194
280,0,1,625,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,1,False,False,False,44800
280,0,1,715,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,1,False,False,True,39160.8391608392
280,0,1,625,0,MMR013042,Mayangone,မရမ်းကုန်း,1,False,False,False,44800
280,0,1,625,0,MMR013013,Thaketa,သာကေတ,3,False,False,False,44800
280,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,3,,,,44800
280,0,1,675,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,6,True,False,False,41481.4814814815
280,1,1,600,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,,False,True,True,46666.6666666667
280,1,1,1100,1,MMR013012,North Okkalapa,မြောက်ဥက္ကလာပ,,False,False,False,25454.5454545455
280,0,0,625,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,1,,,,44800
280,1,1,625,1,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,1,False,False,True,44800
280,0,1,1045,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,6,False,False,False,26794.2583732057
280,0,1,625,0,MMR013022,Mingalartaungnyunt,မင်္ဂလာတောင်ညွန့်,6,False,False,False,44800
280,2,1,1160,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,5,False,True,False,24137.9310344828
280,0,1,675,0,MMR013013,Thaketa,သာကေတ,1,False,False,False,41481.4814814815
280,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,1,False,False,False,44800
